START-END,1.913,3377,3375.087,Start-end
FORM,1.913,519.425,517.512,Alap
FORM,519.425,779.776,260.351,Jor
FORM,779.776,1074.237,294.461,Jhala
FORM,1138.558,2390.1,1251.542,Vilambit teental (16 beats)
FORM,2393.451,3377.024,983.573,Drut teental (16 beats)
NOTES,573.16,576.382,3.222,Requests adjustment from sound engineer
NOTES,706.32,709.974,3.654,Cadence
NOTES,712.752,719.394,6.642,"Tuning, conversation with tabla player"
NOTES,831.838,834.184,2.346,Cadence
NOTES,872.51,875.016,2.506,Cadence
NOTES,948.003,951.953,3.95,Camera adjustment
NOTES,1054.011,1072.221,18.21,Ending
NOTES,1074.838,1083.566,8.728,Applause
NOTES,1083.566,1091.862,8.296,Conversation with tabla player
NOTES,1093.249,1137.593,44.344,Tuning
NOTES,1168.218,1209.722,41.504,Tabla solo
NOTES,1228.165,1231.332,3.167,Cadence
NOTES,1246.634,1252.68,6.046,Mukhra
NOTES,1266.305,1273.024,6.719,Mukhra
NOTES,1288.711,1294.367,5.656,Mukhra
NOTES,1328.554,1334.148,5.594,Mukhra
NOTES,1334.148,1374.912,40.764,Tabla solo
NOTES,1390.085,1396.304,6.219,Mukhra
NOTES,1399.974,1409.505,9.531,Laykari [off beat 3:1]
NOTES,1411.522,1416.209,4.687,Mukhra
NOTES,1420.858,1430.816,9.958,Start of toda bol patterns
NOTES,1430.816,1436.379,5.563,Tihai
NOTES,1448.378,1455.503,7.125,Tihai
NOTES,1468.158,1475.299,7.141,Mukhra
NOTES,1481.501,1507.72,26.219,Laykari [toda patterns in cross rhythm 3:1]
NOTES,1507.72,1514.595,6.875,Mukhra
NOTES,1517.78,1542.437,24.657,Laykari [6:1 with phrasing as 2+2+3]
NOTES,1542.437,1546.796,4.359,Tihai
NOTES,1546.796,1552.906,6.11,Mukhra
NOTES,1552.906,1610.111,57.205,Tabla solo
NOTES,1619.312,1627.968,8.656,Start of tans
NOTES,1642.905,1646.093,3.188,Tihai
NOTES,1657.008,1659.4,2.392,Tihai
NOTES,1659.452,1664.389,4.937,Mukhra
NOTES,1667.123,1688.513,21.39,Tuning
NOTES,1698.357,1699.919,1.562,Tihai
NOTES,1715.091,1717.466,2.375,Tihai [atit]
NOTES,1730.231,1735.106,4.875,Mukhra [continuous]
NOTES,1745.261,1752.424,7.163,Tihai + mukhra
NOTES,1752.424,1856.106,103.682,Tabla solo
NOTES,1899.923,1921.673,21.75,Gamak tans
NOTES,1921.673,1925.33,3.657,Cadence
NOTES,1963.141,1975.688,12.547,Tihai + mukhra
NOTES,1975.688,2025.76,50.072,Tabla solo
NOTES,2027.265,2046.734,19.469,Tuning
NOTES,2082.623,2085.327,2.704,Tihai
NOTES,2104.904,2116.342,11.438,Tihai + mukhra
NOTES,2126.576,2132.232,5.656,Mukhra variant
NOTES,2216.825,2219.638,2.813,Tihai
NOTES,2230.575,2234.778,4.203,Tihai
NOTES,2246.28,2249.405,3.125,Tihai
NOTES,2253.873,2265.03,11.157,Ending-type passage
NOTES,2272.332,2289.915,17.583,Antara
NOTES,2295.255,2372.199,76.944,Tabla solo
NOTES,2372.247,2391.498,19.251,Slowing down to end
NOTES,2403.683,2411.403,7.72,Tabla solo
NOTES,2411.437,2450.584,39.147,Gat and variations
NOTES,2529.311,2531.795,2.484,Super-fast tans
NOTES,2569.42,2579.92,10.5,Super-fast tans + tihai + mukhra
