X,Pitch,Smooth
0,284.0505,2.703328696
1,284.103,2.713481842
2,285.053,2.729433428
3,285.0235,2.729532519
4,286.032,2.756322206
5,287.003,2.773111995
6,286.9795,2.783306561
7,285.076,2.771830434
8,284.1305,2.766217338
9,285.0425,2.782139374
10,285.065,2.782608832
11,284.1355,2.777057495
12,286.0385,2.799736997
13,286.06,2.800217743
14,286.0595,2.811168024
15,285.0965,2.805076563
16,285.106,2.816274136
17,284.999,2.8154884
18,282.104,2.797132655
19,278.243,2.772361297
20,276.228,2.748826373
21,273.2945,2.730276008
22,268.4395,2.689164572
23,267.3625,2.681995905
24,263.522,2.648197142
25,259.59,2.622990331
26,257.6675,2.601528388
27,257.554,2.60037531
28,255.6585,2.57942095
29,252.732,2.551950285
30,250.756,2.539594097
31,249.79,2.533564175
32,248.832,2.518712922
33,247.871,2.503952965
34,246.8955,2.489291563
35,246.884,2.489150333
36,246.869,2.488934123
37,246.8795,2.489024394
38,246.885,2.489044095
39,246.8795,2.480669925
40,246.8795,2.480616645
41,246.878,2.480532176
42,246.879,2.480502658
43,246.892,2.480567299
44,247.841,2.486222633
45,247.8425,2.486182611
46,247.844,2.486142592
47,248.7865,2.491718057
48,248.7955,2.491731771
49,248.8035,2.491752905
50,249.747,2.497360477
51,249.7555,2.497384506
52,249.7605,2.497414483
53,248.8575,2.483971091
54,248.852,2.483916171
55,248.8535,2.48389857
56,248.8535,2.48385433
57,248.852,2.483863081
58,248.85,2.483868852
59,248.8515,2.483851252
60,248.853,2.483824805
61,248.8545,2.483789513
62,248.8525,2.483737777
63,248.8555,2.483742394
64,249.78,2.48923231
65,249.79,2.489296372
66,249.794,2.48932466
67,249.7995,2.489330813
68,249.799,2.489301194
69,249.798,2.48923752
70,249.8055,2.489255597
71,249.803,2.489174108
72,249.812,2.489223322
73,249.8085,2.489127001
74,250.706,2.494396891
75,250.68,2.494028178
76,249.7705,2.488567725
77,248.866,2.475268537
78,248.8535,2.475085134
79,248.845,2.474925467
80,248.8385,2.474851975
81,248.814,2.47456693
82,248.81,2.474556332
83,248.7985,2.47443138
84,248.783,2.474265261
