X,Pitch,Smooth
0,213.537,1.684378365
1,213.549,1.680207169
2,213.56,1.68025304
3,215.475,1.690574092
4,213.543,1.684388821
5,160.691,1.528361134
6,160.696,1.528368888
7,209.636,1.667704999
8,160.72,1.5284339
9,166.506,1.533691893
10,168.474,1.539972116
11,168.539,1.540230659
12,170.463,1.549806155
13,170.471,1.54640768
14,170.464,1.549798741
15,170.463,1.546352267
16,170.472,1.546410885
17,172.419,1.552616144
18,170.457,1.546327783
19,170.458,1.546348499
20,170.446,1.546294278
21,170.46,1.546351407
22,168.515,1.540122566
23,172.422,1.552625759
24,168.532,1.536835533
25,170.483,1.54644264
26,207.659,1.665565185
27,203.759,1.645009038
28,#VALUE!,#VALUE!
29,205.671,1.64700627
30,203.766,1.641029594
31,205.702,1.647109898
32,205.714,1.647194475
33,164.605,1.521060196
34,207.677,1.657384605
35,205.712,1.647194292
36,205.707,1.647176525
37,207.616,1.657137431
38,203.779,1.64110276
39,166.569,1.524027647
40,166.564,1.524016863
41,166.545,1.527159583
42,166.533,1.527119932
43,166.555,1.52721293
44,166.549,1.527178919
45,164.611,1.517888941
46,162.665,1.511750456
47,164.595,1.517812537
48,164.601,1.51782001
49,164.58,1.517731143
50,205.664,1.646963896
51,203.754,1.640967646
52,203.747,1.640949658
53,205.7,1.647138215
54,205.696,1.647121559
55,164.602,1.517862255
56,205.683,1.647066411
57,205.738,1.647261836
58,207.683,1.657389031
59,209.624,1.66352037
60,209.613,1.663475052
61,207.676,1.657331502
62,207.691,1.657426839
63,207.666,1.657333139
64,207.688,1.657442316
65,207.669,1.657346797
66,207.669,1.657342635
67,207.669,1.657344716
68,207.658,1.657301575
69,205.729,1.647247776
70,205.736,1.647249435
71,205.72,1.647178739
72,205.74,1.647280347
73,205.725,1.647210757
74,205.732,1.64724296
75,211.58,1.678123638
76,211.582,1.678162651
77,211.595,1.678217362
78,213.515,1.68862034
79,213.507,1.688607864
80,213.512,1.688606223
81,213.511,1.68860744
82,213.538,1.688725617
83,213.537,1.688715727
84,213.542,1.688698535
85,213.533,1.68439406
86,211.605,1.678216806
87,209.656,1.667804859
88,209.645,1.667763441
89,209.662,1.667809081
90,209.64,1.667711359
91,209.62,1.667626394
92,207.692,1.657457059
93,209.62,1.667622142
94,209.637,1.667720944
95,211.571,1.67807306
96,209.638,1.667736891
97,209.631,1.667725228
98,211.626,1.678312376
99,213.552,1.684487865
100,209.612,1.667628557
101,207.676,1.661489654
102,209.604,1.66758394
103,209.626,1.667707175
104,211.555,1.678039165
105,#VALUE!,#VALUE!
106,211.574,1.682355901
107,211.594,1.678214156
108,211.577,1.678148799
109,209.652,1.671991692
110,211.567,1.678088492
111,211.566,1.678059208
112,209.61,1.667649832
113,211.581,1.67816162
114,211.567,1.682342127
115,#VALUE!,#VALUE!
116,211.577,1.678144451
117,209.65,1.671983128
118,211.568,1.678091697
119,211.585,1.678141837
120,211.594,1.678175029
121,211.624,1.678305966
122,211.586,1.678132001
123,213.524,1.680073382
124,211.566,1.673835011
125,211.588,1.673948011
126,209.646,1.667758118
127,209.642,1.667724109
128,209.637,1.667691171
129,209.629,1.663584507
130,209.64,1.667711359
131,209.665,1.667833527
132,209.627,1.66767208
133,207.712,1.657524533
134,209.638,1.663606694
135,209.661,1.66370051
136,209.618,1.663497178
137,209.637,1.663588825
