X,LEar_x,LEar_y,LElbow_x,LElbow_y,LEye_x,LEye_y,LShoulder_x,LShoulder_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,Neck_x,Neck_y,Nose_x,Nose_y,REar_x,REar_y,RElbow_x,RElbow_y,REye_x,REye_y,RShoulder_x,RShoulder_y,RWrist_x,RWrist_y
0,NA,NA,962.376,431.579,905.644,319.74,919.326,353.198,997.697,490.277,872.296,504.011,858.637,353.196,901.625,333.524,848.766,313.96,698.038,400.191,886.046,319.92,803.708,353.2,758.594,441.269
1,NA,NA,954.569,417.838,903.731,317.889,919.325,353.075,980.17,476.488,870.411,502.026,858.567,353.142,899.815,331.609,846.865,313.919,698.006,400.18,886.021,319.853,801.752,353.194,758.599,443.193
2,NA,NA,948.774,408.013,903.647,315.925,919.317,351.116,966.342,460.919,872.353,488.312,856.693,351.264,899.755,329.649,846.803,313.928,697.994,400.202,884.156,319.793,801.757,353.157,758.615,443.224
3,NA,NA,962.423,423.678,901.743,313.94,919.297,351.209,966.389,460.955,876.252,507.893,856.663,353.116,899.643,329.596,842.958,310.012,697.978,400.216,884.04,319.738,797.88,353.203,758.643,443.261
4,NA,NA,970.255,462.95,901.714,310.076,921.267,353.129,888.002,464.806,880.115,531.421,856.684,353.183,897.781,325.717,841.009,308.082,697.966,400.255,883.992,317.798,797.837,353.235,758.662,443.236
5,NA,NA,970.251,462.88,901.647,308.118,919.351,353.16,938.944,460.968,876.247,533.392,856.67,353.189,897.734,323.728,840.964,306.24,697.994,400.244,883.951,313.969,795.906,353.217,758.639,443.197
6,NA,NA,964.501,464.851,899.827,306.235,917.45,353.164,931.155,460.795,880.135,537.267,854.743,353.198,895.81,321.851,839.064,306.172,698.007,400.235,882.065,311.991,793.926,353.206,758.595,441.277
7,NA,NA,964.347,464.86,899.795,306.177,919.312,353.139,925.225,456.959,874.311,541.228,854.748,353.193,891.939,321.787,839.01,306.096,698.031,400.206,880.131,308.165,792.075,353.19,756.758,441.256
8,NA,NA,962.424,472.609,899.756,306.125,917.431,353.187,917.399,447.213,870.355,539.238,854.7,353.187,890,321.739,838.994,306.033,698.038,400.188,878.197,308.091,792.053,353.161,756.673,437.412
9,NA,NA,962.432,474.566,899.744,306.073,919.354,353.154,915.461,445.244,874.291,539.267,854.761,353.171,889.973,319.888,838.99,304.201,699.872,400.153,878.177,306.201,792.051,353.159,754.74,435.442
10,NA,NA,962.391,474.644,899.751,304.225,921.292,353.164,915.332,445.196,874.259,541.237,856.648,353.174,889.959,319.829,838.959,304.093,699.874,400.149,876.262,306.076,793.925,353.145,754.73,433.535
11,NA,NA,962.349,474.622,899.764,304.157,923.285,353.177,915.316,445.208,872.357,539.28,858.574,353.154,888.053,319.782,838.974,300.271,698.048,400.181,876.221,304.206,795.888,353.081,752.804,433.489
12,NA,NA,960.454,474.548,899.783,304.094,925.174,353.167,915.371,445.153,872.329,537.318,858.64,353.143,889.944,317.867,838.999,300.209,699.903,400.142,878.152,304.112,795.945,353.071,754.719,433.46
13,NA,NA,962.328,472.606,899.79,302.226,925.175,353.245,915.357,445.157,870.429,537.292,858.639,353.159,889.926,317.806,839.025,296.334,699.938,398.194,876.258,302.24,795.923,351.25,754.721,431.616
14,NA,NA,960.48,470.709,899.753,302.165,923.28,353.193,915.367,443.252,868.448,523.571,858.621,353.138,888.003,315.884,839.022,292.487,699.969,396.259,874.264,302.136,795.933,351.234,754.754,431.609
15,NA,NA,960.499,472.628,899.698,300.277,923.256,353.194,915.416,443.257,870.289,523.564,860.525,353.114,886.076,315.883,838.994,292.378,701.922,394.241,872.309,300.226,797.856,351.181,756.658,431.608
16,NA,NA,960.503,472.64,897.75,300.195,925.181,353.183,915.415,443.205,870.407,523.598,860.575,353.113,884.158,313.946,838.918,290.5,705.759,392.32,870.358,298.273,797.885,351.186,756.722,433.434
17,NA,NA,962.327,472.666,891.932,300.214,927.147,353.167,915.418,443.185,870.364,513.789,862.536,353.101,883.962,313.964,837.076,290.482,707.7,396.256,868.374,298.307,799.833,351.185,758.613,435.476
18,901.628,300.21,962.341,472.674,888.027,300.254,927.158,353.167,917.292,443.208,868.434,509.886,862.514,353.093,878.157,313.949,836.967,290.472,705.794,400.115,866.372,298.313,795.955,351.181,758.767,443.258
19,899.701,302.127,962.326,472.6,886.005,302.146,925.225,353.143,915.48,443.265,868.422,507.886,860.526,353.111,870.466,313.98,835.05,290.479,705.764,400.105,858.592,298.317,795.876,353.056,758.709,443.263
20,897.75,302.157,962.346,470.697,882.13,302.219,925.193,353.209,917.299,445.111,868.447,513.808,858.635,353.145,868.357,315.901,831.153,290.559,703.814,400.094,854.633,300.24,793.971,353.056,758.719,443.228
21,893.854,304.102,960.499,472.607,874.282,304.109,923.254,355.104,917.303,443.284,868.46,511.861,858.58,353.172,862.486,315.897,827.268,292.372,701.899,400.142,852.61,302.131,793.913,353.074,760.555,443.221
22,888.033,304.129,960.473,472.643,870.337,304.175,923.254,355.126,915.49,443.207,870.35,523.566,858.57,353.198,854.716,317.837,825.293,292.397,699.987,400.191,844.891,302.205,793.926,353.084,760.585,441.301
23,886.031,304.223,960.434,472.673,866.449,304.245,921.297,353.22,915.427,441.314,870.363,519.682,856.657,353.19,852.636,317.911,823.381,294.369,699.909,400.247,839.073,304.06,792.068,353.108,760.591,439.306
24,884.148,306.09,958.522,472.622,860.58,306.087,919.328,353.18,915.473,443.271,870.318,513.813,856.628,353.195,846.814,319.77,823.297,292.456,698.051,400.237,837.073,304.124,792.067,353.15,760.599,437.356
25,884.028,306.096,958.514,468.759,854.766,306.188,919.334,355.071,917.31,445.176,870.318,523.565,854.778,355.07,839.071,319.891,821.415,294.385,698.021,400.24,835.013,304.192,792.017,353.197,760.609,435.477
26,882.063,306.114,960.397,470.701,852.798,308.111,917.417,355.082,917.303,445.2,868.406,529.464,854.672,353.253,837.112,321.777,821.265,294.421,697.991,400.251,827.263,306.07,791.929,353.189,760.635,437.395
27,880.126,306.188,958.519,474.537,852.663,310.01,917.371,355.114,917.415,445.249,868.402,529.481,854.627,355.084,836.975,321.867,NA,NA,697.978,402.089,823.449,306.169,790.094,353.194,760.648,439.311
28,878.151,306.216,958.546,474.576,850.739,311.98,917.397,355.091,917.417,445.233,868.444,535.336,854.627,355.086,835.054,323.737,NA,NA,697.952,402.133,823.356,308.058,790.063,353.218,760.651,439.365
29,874.28,308.102,960.45,474.633,846.85,315.904,917.398,355.12,917.468,445.225,868.391,539.234,854.645,355.109,831.16,325.696,NA,NA,697.948,402.167,821.456,308.128,791.923,353.219,760.683,441.279
30,874.272,308.133,960.464,474.62,844.866,317.815,917.333,353.226,919.297,445.205,868.372,537.306,854.628,355.067,827.255,325.743,NA,NA,697.946,402.2,821.368,308.127,790.083,353.204,760.704,441.329
31,874.259,308.15,960.455,474.622,842.901,317.881,917.299,353.167,919.297,445.227,868.385,529.471,854.618,353.219,825.344,325.764,NA,NA,697.897,404.045,821.316,310.018,790.063,353.206,760.712,443.186
32,872.359,308.159,960.458,474.563,842.891,317.9,915.475,353.15,917.464,445.222,868.432,525.58,854.621,353.227,825.352,327.688,NA,NA,697.867,404.061,821.3,310.077,790.067,353.233,760.72,443.189
33,872.304,310.04,960.469,474.558,841.026,319.726,915.473,353.153,917.429,445.209,868.355,529.461,854.619,353.234,825.368,329.626,NA,NA,697.865,404.073,821.301,312.007,790.062,353.235,760.733,443.196
34,872.321,310.082,960.446,474.557,841.022,319.761,915.475,353.155,917.413,445.177,866.46,527.519,854.614,353.242,825.352,331.561,NA,NA,696.063,404.112,821.289,313.925,790.021,353.243,760.744,443.204
35,872.284,310.063,960.427,474.534,841.009,319.77,915.443,353.136,917.392,445.169,868.339,525.566,852.805,353.238,825.345,331.577,NA,NA,696.06,404.124,821.268,313.956,789.997,353.252,760.735,443.21
36,872.291,310.049,960.416,474.539,841.018,319.777,915.44,353.136,917.384,445.186,866.463,523.596,854.594,353.232,825.343,331.605,NA,NA,696.051,406.004,819.443,313.992,789.989,353.248,760.728,443.201
37,872.284,310.035,960.411,474.562,841.031,319.775,915.447,353.13,917.368,445.206,868.347,525.548,854.596,353.225,825.358,331.599,NA,NA,696.06,404.131,819.454,315.867,789.988,353.239,760.716,443.197
38,872.296,310.04,960.405,474.554,842.889,319.78,915.45,353.118,917.365,445.218,868.387,525.527,854.602,353.219,825.372,331.602,NA,NA,696.063,404.113,821.254,315.866,789.993,353.24,760.714,443.191
39,872.286,310.041,958.546,474.571,842.904,319.793,915.444,353.124,917.356,445.233,868.356,525.536,854.596,353.22,827.229,333.47,NA,NA,696.061,404.105,821.259,315.89,790.008,353.232,760.711,441.337
40,872.296,310.052,958.534,474.589,842.924,319.807,915.459,353.143,917.365,445.241,868.339,527.506,854.597,353.229,827.241,333.482,NA,NA,696.052,404.093,821.273,315.904,790.014,353.231,760.716,441.32
41,872.311,310.082,960.414,474.566,842.93,319.83,915.475,353.158,917.372,445.241,868.347,525.549,854.6,353.234,827.255,333.499,NA,NA,696.048,404.101,821.302,315.931,790.012,353.223,760.717,441.306
42,872.317,310.086,960.416,474.546,842.945,319.841,915.478,353.153,917.375,445.236,868.387,525.563,854.604,353.238,827.265,333.507,NA,NA,696.045,404.105,821.321,315.938,790.022,353.23,760.712,441.289
43,872.334,311.987,960.418,474.578,842.961,319.841,915.491,353.171,917.39,445.231,868.341,525.548,854.623,353.237,827.294,333.51,NA,NA,696.046,404.086,821.344,315.954,790.055,353.22,760.701,441.28
44,872.359,311.985,960.421,474.604,844.86,319.847,915.486,353.184,917.405,445.24,868.33,523.588,854.628,353.243,829.2,333.518,NA,NA,696.043,404.052,821.369,317.806,790.074,353.214,760.7,441.275
45,872.357,311.971,960.416,474.639,844.867,319.852,917.298,353.211,917.423,445.248,866.428,521.637,854.642,355.065,829.214,333.529,NA,NA,696.042,404.049,821.388,317.811,791.922,353.204,760.706,441.274
46,872.364,311.979,960.404,476.479,844.877,319.854,917.35,355.066,917.421,445.243,866.443,519.662,854.661,355.086,829.228,333.54,NA,NA,696.041,404.048,821.394,317.828,791.927,353.199,760.711,441.27
47,872.391,312.017,960.412,476.486,844.888,319.866,917.407,355.098,917.414,445.266,868.351,525.541,854.692,355.098,831.13,333.557,NA,NA,696.051,402.189,821.408,317.85,791.935,353.201,760.706,441.268
48,874.253,313.931,960.403,476.479,844.915,319.875,917.426,355.099,917.389,445.28,868.381,527.512,854.693,355.098,831.157,333.566,NA,NA,696.059,402.183,821.422,317.862,790.093,353.206,760.7,441.273
49,874.28,313.956,958.507,476.501,846.821,319.885,917.426,355.097,917.386,445.284,868.336,523.584,854.684,355.104,831.179,333.572,NA,NA,696.056,402.178,821.439,317.875,790.08,353.214,760.703,441.281
50,874.3,313.949,958.482,476.493,846.845,319.89,917.423,355.09,917.369,445.298,868.38,525.572,854.679,355.102,833.077,333.583,NA,NA,696.053,402.188,821.457,317.894,790.069,353.218,760.691,441.295
51,874.309,312.025,958.483,476.494,846.863,319.895,917.404,355.074,917.374,445.296,868.307,521.635,854.677,355.081,833.1,333.589,NA,NA,696.053,404.051,823.247,317.9,790.08,353.205,760.688,441.299
52,874.317,311.998,958.47,476.492,846.87,319.897,917.383,353.235,917.372,445.292,866.452,517.709,854.668,355.066,833.11,333.589,NA,NA,696.062,404.074,823.252,317.905,790.075,353.199,760.681,441.306
53,874.311,311.989,958.47,476.509,846.871,319.903,917.404,355.072,917.38,445.296,868.312,521.631,854.676,355.078,833.109,335.394,NA,NA,696.064,404.075,823.259,317.908,790.079,353.202,760.68,441.322
54,874.304,311.982,956.585,476.521,846.868,319.91,917.41,355.086,917.373,445.295,868.359,527.491,854.674,355.089,833.103,335.399,NA,NA,696.065,404.085,823.257,317.911,790.068,353.205,760.687,441.319
55,874.297,312.037,958.487,476.523,846.873,319.924,917.394,355.088,917.381,445.3,866.416,523.579,854.671,355.097,833.112,335.405,NA,NA,696.062,404.085,823.267,319.726,790.08,353.207,760.675,441.331
56,874.306,313.959,958.476,476.531,846.878,319.93,917.402,355.092,917.385,445.304,866.463,525.528,854.674,355.106,833.122,335.415,NA,NA,696.064,404.102,823.275,319.741,790.076,353.212,760.67,443.184
57,874.302,313.942,958.468,476.522,846.867,319.931,917.414,355.106,917.39,447.098,866.424,527.5,854.68,355.112,833.115,335.411,NA,NA,696.059,404.095,823.272,319.736,790.071,353.21,760.66,443.188
58,874.293,313.937,956.583,476.52,846.872,321.703,917.384,355.09,917.389,447.101,864.499,529.455,854.665,355.111,833.107,335.407,NA,NA,696.062,404.081,823.271,319.732,790.064,353.212,760.658,443.191
59,874.298,313.931,958.463,476.527,848.752,321.714,917.356,355.081,917.383,447.096,864.45,527.504,854.645,355.104,833.116,335.413,809.653,306.175,696.066,404.083,823.281,319.745,790.057,353.211,760.645,443.198
60,874.311,312.033,958.48,476.523,848.751,321.716,917.354,355.08,917.383,447.104,860.576,523.571,854.65,355.106,833.127,335.421,809.639,306.179,696.072,404.082,823.287,319.76,790.067,353.215,760.641,443.218
61,874.315,313.923,958.475,476.533,848.767,321.722,917.363,355.082,917.401,447.107,860.538,523.6,854.648,355.105,833.14,335.431,809.627,306.173,697.867,404.078,823.29,319.765,790.052,353.211,760.637,443.224
62,874.323,313.943,958.488,476.51,848.781,321.735,917.361,355.068,917.389,447.107,860.534,521.619,854.644,355.099,833.145,335.44,809.614,306.166,697.866,404.081,823.29,319.773,790.053,353.213,760.642,443.231
63,874.317,313.934,956.58,476.499,848.784,321.743,917.337,353.224,917.384,447.105,858.599,515.758,854.636,355.078,833.154,335.443,809.621,306.168,696.071,404.081,823.295,319.782,790.053,353.207,760.64,443.231
64,874.306,313.941,956.555,476.484,848.792,321.749,917.318,353.194,917.384,447.107,858.578,515.747,854.636,353.252,835.008,335.448,809.628,306.171,697.87,404.08,823.299,319.791,790.057,353.21,760.638,443.244
65,874.302,313.963,956.549,476.539,848.806,321.749,917.318,353.185,917.405,447.103,858.598,513.791,854.636,353.247,835.027,335.447,809.63,306.174,697.867,404.086,823.311,319.799,790.067,353.214,760.627,443.245
66,874.311,315.879,956.556,476.567,848.806,321.756,917.315,353.168,917.398,445.299,858.582,511.853,854.634,353.233,835.034,335.446,809.638,306.194,697.869,404.087,823.318,319.808,790.066,353.207,760.62,443.249
67,874.3,315.87,956.559,476.594,848.824,321.764,917.338,353.189,917.392,445.3,856.701,515.749,854.652,353.242,835.051,335.452,809.639,306.196,697.873,404.088,823.331,319.814,790.084,353.204,760.618,443.25
68,874.315,315.886,956.554,476.602,848.836,321.773,917.35,353.196,917.395,445.302,856.643,509.883,854.662,353.245,835.056,335.458,809.65,306.202,697.874,404.088,823.337,319.812,790.087,353.2,760.614,443.256
69,874.307,315.884,956.525,476.609,850.69,321.782,917.353,353.204,917.395,445.301,854.739,507.908,854.662,353.253,835.067,335.471,809.654,306.212,697.877,404.076,823.338,319.819,790.096,353.207,760.607,443.256
70,874.305,315.889,956.533,476.59,850.706,321.782,917.352,353.194,917.395,445.306,856.64,509.858,854.668,353.251,835.088,335.477,809.637,306.207,697.879,404.073,823.348,319.822,791.934,353.213,760.597,443.25
71,876.2,315.914,954.635,476.611,850.724,321.795,917.36,353.199,917.413,445.301,856.697,509.874,854.681,355.064,835.098,335.492,809.645,306.219,697.878,404.074,823.355,319.831,791.951,353.234,760.593,443.242
72,876.204,315.89,954.629,476.623,850.737,321.8,917.369,353.202,917.422,445.303,860.591,509.869,854.695,355.069,835.117,335.493,809.65,306.211,697.87,404.078,823.369,319.841,791.968,353.239,760.61,443.243
73,876.24,315.899,956.521,476.615,850.744,321.812,917.367,353.197,917.427,447.104,866.41,519.663,854.701,355.07,835.127,335.51,809.663,306.237,696.07,404.112,823.374,319.856,791.968,353.245,760.628,441.335
74,876.267,315.907,956.522,476.627,850.752,321.828,917.359,353.197,917.448,447.109,866.402,517.71,854.697,355.077,836.94,335.528,809.659,306.236,696.067,404.12,823.381,319.87,791.952,353.246,760.656,441.309
75,878.162,317.825,956.539,476.615,850.761,321.851,917.344,353.233,917.463,445.295,870.292,521.61,854.719,355.097,836.936,335.576,811.554,308.074,696.072,404.127,823.378,319.895,792.015,353.254,760.723,441.305
76,876.226,315.954,956.526,476.641,850.752,321.863,917.323,355.072,917.453,445.271,870.282,521.639,854.69,355.125,835.126,335.585,809.673,308.068,696.047,406.012,823.374,319.909,791.989,355.076,762.574,441.317
77,876.22,315.942,956.534,476.642,850.749,321.879,915.491,355.071,917.414,445.263,868.443,521.613,854.678,355.13,835.116,337.384,809.655,306.24,696.03,406.017,823.364,319.93,791.982,355.076,762.616,441.286
78,874.316,315.916,954.625,478.449,850.76,321.904,917.294,355.067,917.412,445.241,868.321,509.906,854.689,355.116,835.116,337.409,809.659,306.239,696.001,406.024,823.373,321.722,791.995,353.24,762.648,439.375
79,874.322,315.9,954.614,476.639,850.77,323.723,917.315,355.077,917.363,445.231,866.44,509.864,854.685,355.114,835.124,337.434,809.692,308.077,695.991,406.018,823.375,321.748,791.977,353.241,762.652,439.331
80,874.322,315.88,954.631,478.448,850.757,323.732,917.328,355.086,917.363,445.224,868.384,521.615,854.687,355.126,835.119,337.442,809.696,308.077,695.966,406.014,823.365,321.759,791.979,353.242,762.641,439.313
81,874.315,315.887,956.529,478.451,850.746,323.761,917.324,355.106,917.357,445.226,868.377,527.52,854.683,355.135,835.102,337.474,811.569,308.132,695.975,404.128,823.342,321.791,791.984,353.24,762.625,437.372
82,874.297,315.912,954.634,478.47,850.74,323.758,917.316,355.118,917.345,445.232,868.377,527.509,854.67,355.128,835.091,337.471,811.562,308.151,695.955,404.123,823.321,321.795,791.971,353.222,762.657,435.461
83,874.298,315.931,954.588,478.512,850.727,323.771,917.299,355.133,917.34,445.24,868.32,523.588,854.659,355.125,835.081,337.484,811.574,308.153,695.935,406.007,823.315,321.815,791.972,353.217,762.664,435.458
84,874.27,315.936,954.595,478.516,850.722,323.78,915.482,355.143,917.335,445.24,868.33,525.535,854.648,355.125,835.067,337.501,811.555,308.142,695.94,404.131,823.296,321.822,791.978,353.209,764.548,435.456
85,874.269,315.941,954.597,478.521,850.717,323.788,915.479,355.163,917.336,445.259,868.316,531.434,854.649,355.131,835.06,337.511,811.553,308.143,695.945,404.123,823.286,321.83,791.969,353.2,764.557,435.461
86,874.26,317.8,954.583,478.534,850.721,323.791,915.47,355.166,917.339,445.26,866.404,527.527,854.636,355.092,835.065,337.51,809.695,310.012,695.951,404.102,823.286,321.833,791.98,353.139,764.539,437.361
87,874.263,317.804,954.578,478.521,850.724,323.796,915.451,355.161,917.334,445.265,864.483,527.518,854.633,355.075,835.072,337.51,811.557,308.149,695.973,404.084,823.292,321.836,791.999,353.116,764.544,437.386
88,874.3,317.808,954.581,478.519,850.746,323.816,915.445,355.151,917.329,445.253,866.373,529.455,854.642,353.253,835.093,337.526,811.555,310.016,695.987,404.058,823.31,321.858,792.031,353.098,762.671,437.383
89,874.32,317.801,954.603,478.513,850.772,323.829,915.445,355.144,917.317,445.245,866.421,531.414,854.642,353.246,835.118,337.536,811.574,310.037,696.009,402.2,823.33,321.868,792.014,353.093,764.557,439.31
90,876.218,317.825,954.566,478.522,850.8,325.683,915.475,355.165,917.319,445.255,868.317,531.414,854.667,353.253,836.945,337.541,811.601,310.022,696.023,402.175,823.348,321.877,792.019,353.09,764.555,439.33
91,876.238,317.832,952.684,478.524,852.607,325.698,915.48,355.18,917.307,445.264,866.449,531.43,854.674,355.067,836.955,337.551,811.607,310.04,696.033,402.173,823.359,321.884,792.017,353.1,764.547,439.338
92,876.26,317.83,954.572,478.518,852.619,325.693,915.469,355.162,917.312,445.272,866.444,533.396,854.653,353.251,836.965,337.551,811.585,310.049,696.032,402.153,823.361,321.877,791.988,353.1,764.568,439.331
93,878.173,317.822,954.59,478.502,852.625,325.694,915.469,355.16,917.308,445.271,866.437,533.373,854.649,353.252,836.965,337.555,811.577,310.071,696.033,402.175,823.36,321.874,791.975,353.102,764.542,437.42
94,878.181,317.83,954.614,478.513,852.624,325.683,915.475,355.162,917.301,445.265,868.316,531.428,854.655,355.062,836.964,337.545,811.571,310.081,696.042,402.179,823.367,321.867,791.973,353.114,762.662,437.414
95,878.2,317.835,954.603,478.522,852.625,325.684,915.475,357.031,917.295,445.262,868.342,533.368,854.667,355.076,836.966,337.544,811.569,311.971,696.045,402.195,823.372,321.867,791.978,353.116,762.661,437.423
96,878.209,317.823,954.586,478.52,852.632,325.693,915.47,357.039,917.292,445.257,866.456,525.535,854.665,355.073,836.974,337.547,811.594,311.978,696.05,402.18,823.379,321.867,791.987,353.104,762.634,437.421
97,880.101,317.838,954.583,478.524,852.645,325.699,915.465,357.03,917.291,445.26,866.411,521.619,854.664,355.063,836.984,337.552,811.607,311.98,696.056,402.181,823.381,321.872,791.993,353.095,762.654,439.336
98,880.107,317.85,954.582,478.537,852.646,325.703,915.469,357.049,917.299,445.251,866.392,523.604,854.675,355.073,836.988,337.555,NA,NA,696.06,402.162,823.383,321.876,792.001,353.094,762.666,439.35
99,880.112,317.835,954.581,478.534,852.648,325.704,915.473,357.058,917.311,445.261,866.4,523.594,854.685,355.077,836.99,337.561,NA,NA,696.065,402.144,823.381,321.879,792.017,353.094,762.673,439.365
100,880.131,317.872,954.58,478.539,852.646,325.706,915.49,357.041,917.288,445.251,864.45,511.826,854.702,353.258,836.987,337.567,NA,NA,697.874,402.129,823.385,321.876,792.032,353.082,762.666,439.382
101,880.137,317.874,954.561,478.54,852.643,325.713,917.306,357.055,917.286,445.254,862.532,515.762,854.702,355.069,836.984,337.569,NA,NA,697.875,402.129,823.383,321.882,792.02,353.088,762.672,441.261
102,880.14,317.866,954.577,478.522,852.645,325.715,917.311,357.052,917.288,445.267,864.463,519.659,854.705,355.08,836.986,337.571,NA,NA,697.875,402.124,823.382,321.882,792.023,353.099,762.644,441.276
103,880.141,317.869,954.578,478.512,852.648,325.716,917.307,357.042,915.499,445.269,860.543,513.781,854.702,355.071,836.988,337.574,NA,NA,697.871,402.124,823.381,321.883,792.027,353.089,762.629,441.264
104,880.14,317.867,954.568,478.52,852.649,325.714,917.315,357.051,917.293,445.287,858.603,509.909,854.7,355.067,836.988,337.568,NA,NA,697.875,402.108,823.385,321.877,792.03,353.076,762.622,441.28
105,880.134,317.879,954.565,478.527,852.655,325.711,917.312,357.047,917.302,445.286,858.596,509.903,854.696,353.256,836.994,337.569,NA,NA,697.881,402.11,823.391,321.879,792.03,353.07,762.616,441.301
106,880.144,317.876,954.571,478.53,852.66,325.71,917.321,357.044,917.298,445.299,858.58,511.836,854.699,355.063,837,337.57,NA,NA,697.879,402.105,823.392,321.878,792.026,353.079,762.6,441.285
107,880.138,317.878,954.568,478.531,852.663,325.708,917.321,357.044,917.308,447.102,862.544,529.465,854.697,355.071,837.005,337.571,NA,NA,697.883,402.091,823.39,321.882,792.015,353.091,762.585,441.275
108,880.142,317.868,954.566,478.521,852.656,325.704,917.309,357.033,917.301,445.307,862.507,519.656,854.692,355.063,837.001,337.565,NA,NA,697.886,402.094,823.384,321.883,792.029,353.094,762.562,441.261
109,880.141,317.861,954.578,478.511,852.656,325.708,917.309,357.039,917.299,445.302,860.562,513.785,854.692,353.257,836.997,337.566,NA,NA,697.894,402.103,823.38,321.881,792.023,353.086,762.57,441.277
110,880.143,317.867,954.563,478.517,852.656,325.708,917.3,357.036,917.288,445.291,858.621,511.828,854.685,353.257,837.001,337.565,NA,NA,697.89,402.119,823.383,321.881,792.021,353.089,762.57,441.279
111,880.14,317.876,952.684,478.52,852.661,325.712,915.492,357.037,917.287,445.287,858.616,509.905,854.681,355.065,837.005,337.565,NA,NA,697.892,402.119,823.385,321.883,792.022,353.095,762.579,441.292
112,880.141,317.874,952.668,478.547,852.662,325.709,917.3,357.045,917.299,445.295,856.703,511.822,854.683,355.065,837.007,337.563,NA,NA,697.895,402.123,823.386,321.876,792.018,353.096,762.576,441.288
113,880.138,317.883,954.563,478.55,852.665,325.707,917.299,357.049,917.317,447.108,860.584,511.841,854.682,355.07,837.012,337.559,NA,NA,697.895,402.115,823.393,321.874,792.009,353.104,762.574,441.297
114,880.146,317.878,954.562,478.562,852.67,325.714,917.309,357.06,917.314,447.1,860.538,509.898,854.684,355.074,837.019,337.56,NA,NA,697.894,402.107,823.398,321.876,792.013,353.107,762.563,441.313
115,880.156,317.883,952.686,478.561,852.672,325.72,917.306,357.07,917.314,447.1,860.563,511.829,854.687,355.074,837.022,337.563,NA,NA,697.892,402.098,823.399,321.88,792.023,353.101,762.562,441.325
116,880.16,317.88,954.58,478.545,852.679,325.719,917.299,357.081,917.312,447.101,858.605,511.836,854.679,355.073,837.03,337.564,NA,NA,697.893,402.105,823.403,321.884,792.012,353.094,760.75,441.312
117,880.166,317.862,954.594,478.541,852.684,325.73,915.476,357.076,917.317,447.101,858.582,511.851,854.663,355.065,837.031,337.57,811.614,313.925,697.893,402.102,823.402,321.887,792.005,353.084,760.741,441.323
118,880.176,317.859,954.606,478.543,852.684,325.731,915.487,357.077,917.322,447.11,856.683,509.896,854.669,355.063,837.031,337.572,811.613,313.926,697.894,402.106,823.404,321.885,792.009,353.086,760.748,441.32
119,880.179,317.874,954.61,478.547,852.688,325.734,917.299,357.081,917.33,447.123,856.645,507.937,854.681,355.063,837.033,337.574,NA,NA,697.89,402.116,823.409,321.882,792.024,353.087,762.565,441.332
120,880.167,317.874,954.608,478.545,852.683,325.728,915.492,357.074,917.339,447.122,856.671,509.852,854.675,353.254,837.031,337.568,NA,NA,697.897,402.115,823.408,321.885,792.027,353.085,762.568,443.19
121,880.167,317.867,954.611,478.544,852.685,325.725,917.296,357.077,917.342,447.123,858.571,511.852,854.675,355.063,837.034,337.568,NA,NA,697.895,402.113,823.411,321.887,792.026,353.09,762.562,443.2
122,880.168,317.868,954.601,478.531,852.685,325.728,915.491,357.079,917.343,447.12,856.689,511.82,854.674,353.255,837.034,337.57,NA,NA,697.892,402.115,823.409,321.889,792.029,353.086,760.74,443.202
123,880.168,317.864,954.593,478.52,852.687,325.729,915.473,357.058,917.349,447.126,858.586,511.853,854.664,353.249,837.035,337.57,NA,NA,697.89,402.116,823.409,321.891,792.03,353.089,760.73,443.198
124,880.164,317.867,954.58,478.515,852.687,325.731,915.465,357.049,917.374,447.164,856.684,509.885,854.662,353.239,837.036,337.571,NA,NA,697.893,402.117,823.412,321.891,792.034,353.079,760.728,443.2
125,880.166,317.875,954.578,478.521,852.687,325.734,915.46,357.053,917.373,447.163,856.669,509.859,854.665,353.241,837.035,337.572,NA,NA,697.89,402.115,823.414,321.89,792.035,353.078,760.727,443.201
126,880.167,317.875,954.581,478.521,852.684,325.737,915.46,357.056,917.377,447.169,856.615,507.922,854.664,353.241,837.033,337.571,NA,NA,697.892,402.119,823.413,321.889,792.033,353.077,760.717,443.2
127,880.164,317.869,954.578,478.514,852.684,325.732,915.45,357.034,917.371,447.172,856.682,509.877,854.655,353.232,837.033,337.572,NA,NA,697.892,402.116,823.412,321.888,792.025,353.077,760.719,443.204
128,880.171,317.86,954.572,478.517,852.682,325.733,915.465,357.032,917.37,447.167,856.68,509.894,854.664,353.227,837.032,337.567,NA,NA,697.895,402.104,823.412,321.886,792.035,353.07,760.711,443.196
