X,LEar_x,LEar_y,LElbow_x,LElbow_y,LEye_x,LEye_y,LShoulder_x,LShoulder_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,Neck_x,Neck_y,Nose_x,Nose_y,REar_x,REar_y,RElbow_x,RElbow_y,REye_x,REye_y,RShoulder_x,RShoulder_y,RWrist_x,RWrist_y
0,NA,NA,323.813,456.993,282.599,266.956,310.088,353.192,312.016,525.553,233.636,527.524,241.527,351.24,276.7,284.531,221.905,278.694,151.353,456.997,257.234,272.748,170.927,349.243,147.412,509.832
1,NA,NA,323.813,456.983,282.597,266.967,310.082,353.19,313.947,527.496,233.654,529.473,241.524,351.238,274.884,284.537,221.91,278.687,151.344,458.884,257.23,272.757,170.92,349.244,147.406,509.841
2,NA,NA,323.812,456.983,282.592,266.96,310.082,353.19,313.942,527.502,233.617,529.479,241.526,351.234,274.877,284.535,221.914,278.68,151.351,456.98,257.228,272.761,170.921,349.232,147.417,507.962
3,NA,NA,323.808,456.991,282.589,266.968,310.073,353.188,312.023,527.498,231.72,529.484,241.527,351.233,274.877,284.553,223.763,278.698,151.35,456.982,257.225,272.774,170.925,349.229,147.395,507.961
4,NA,NA,323.803,456.98,282.587,268.855,310.072,353.188,312.02,525.563,231.722,529.46,241.526,351.234,274.879,284.578,223.771,278.69,151.352,456.983,257.226,272.785,170.926,349.232,145.489,507.956
5,NA,NA,323.811,456.968,282.583,268.852,310.075,353.187,304.131,464.822,233.664,529.447,241.525,351.237,274.879,284.587,223.774,278.68,151.355,456.982,257.227,272.798,170.92,349.24,145.461,507.932
6,NA,NA,323.813,456.977,282.584,268.849,310.071,353.181,304.136,464.832,233.647,527.528,241.517,351.238,274.877,284.581,223.772,278.696,151.358,456.957,257.227,272.793,169.027,349.247,143.525,507.89
7,NA,NA,323.819,456.984,282.591,268.85,310.065,353.187,313.965,523.601,233.666,527.497,241.517,351.243,274.876,284.579,223.767,278.695,151.345,457.001,257.229,272.794,169.022,349.251,145.489,507.924
8,NA,NA,323.825,456.975,282.6,268.852,310.055,353.187,304.144,464.864,233.658,525.586,241.513,351.244,274.878,284.575,223.765,278.7,151.336,458.89,257.23,272.793,169.025,349.254,147.399,507.937
9,NA,NA,323.821,456.98,282.605,268.859,310.059,353.197,311.989,478.495,235.595,525.586,241.522,351.249,274.879,284.579,223.765,278.683,151.327,458.892,257.235,272.789,170.922,349.256,147.388,507.906
