Cycle,Time,Notes,Beats
1,2395.770646,,16
2,2399.727417,,16
3,2403.683125,,16
4,2407.561063,,16
5,2411.403688,,16
6,2415.313333,,16
7,2419.224188,,16
8,2423.227708,,16
9,2427.12,,16
10,2431.098667,,16
11,2434.939229,,16
12,2438.810646,,16
13,2442.613333,,16
14,2446.522979,,16
15,2450.44,,16
16,2454.234833,,16
17,2457.989438,,16
18,2461.776,,16
19,2465.62,,16
20,2469.386667,,16
21,2473.081833,,16
22,2476.789521,,16
23,2480.568646,,16
24,2484.4,,16
25,2488.263938,,16
26,2492.087792,,16
27,2495.843167,,16
28,2499.583188,,16
29,2503.353333,,16
30,2507.106667,,16
31,2510.793333,,16
32,2514.494104,,16
33,2518.14,,16
34,2521.911042,,16
35,2525.575042,,16
36,2529.283333,,16
37,2532.984583,,16
38,2536.60875,,16
39,2540.357479,,16
40,2544.043938,,16
41,2547.761875,,16
42,2551.463688,,16
43,2555.111542,,16
44,2558.842792,,16
45,2562.645917,,16
46,2566.069438,,16
47,2569.465521,,16
48,2572.912167,,16
49,2576.3505,,16
50,2579.95975,,16
51,2583.66,,16
52,2587.293792,,16
53,2590.871896,,16
54,2594.573479,,16
55,2598.426667,,16
56,2602.107583,,16
57,2605.867792,,16
58,2609.601896,,16
59,2613.22,,16
60,2616.665688,,16
61,2619.973854,,16
62,2623.431375,,16
63,2626.852813,,16
64,2630.337542,,16
65,2633.854917,,16
66,2637.33325,,16
67,2640.672563,,16
68,2644.019333,,16
69,2647.486667,,16
70,2650.937583,,16
71,2654.370667,,16
72,2657.816688,,16
73,2661.302813,,16
74,2664.8,,16
75,2668.320792,,16
76,2671.760208,,16
77,2675.222354,,16
78,2678.678063,,16
79,2682.162833,,16
80,2685.573333,,16
81,2689.002917,,16
82,2692.444771,,16
83,2695.881604,,16
84,2699.388479,,16
85,2702.88,,16
86,2706.413208,,16
87,2709.822167,,16
88,2713.146938,,16
89,2716.262625,,16
90,2719.470417,,16
91,2722.59475,,16
92,2725.841667,,16
93,2729.020875,,16
94,2732.171979,,16
95,2735.211833,,16
96,2738.250417,,16
97,2741.395208,,16
98,2744.473333,,16
99,2747.573625,,16
100,2750.665625,,16
101,2753.746667,,16
102,2756.913063,,16
103,2760.011375,,16
104,2763.212896,,16
105,2766.32925,,16
106,2769.488146,,16
107,2772.673021,,16
108,2775.797125,,16
109,2779.021271,,16
110,2782.143667,,16
111,2785.382333,,16
112,2788.64,,16
113,2791.923438,,16
114,2795.161938,,16
115,2798.44,,16
116,2801.66,,16
117,2804.948563,,16
118,2808.134,,16
119,2811.380979,,16
120,2814.627667,,16
121,2817.873167,,16
122,2821.135854,,16
123,2824.383604,,16
124,2827.604875,,16
125,2830.775438,,16
126,2833.952542,,16
127,2837.115417,,16
128,2840.293021,,16
129,2843.562729,,16
130,2846.839833,,16
131,2850.05125,,16
132,2853.350167,,16
133,2856.634208,,16
134,2860.007625,,16
135,2863.384646,,16
136,2866.328875,,16
137,2869.289833,,16
138,2872.297813,,16
139,2875.226583,,16
140,2878.2,,16
141,2881.193333,,16
142,2884.188042,,16
143,2887.226104,,16
144,2890.2,,16
145,2893.312854,,16
146,2896.286667,,16
147,2899.304896,,16
148,2902.28,,16
