Cycle,Time,Notes,Beats
1,1147,,16
2,1168.21525,,16
3,1188.891667,,16
4,1209.722313,,16
5,1231.137354,,16
6,1251.922,,16
7,1272.367563,,16
8,1293.413938,,16
9,1313.649125,,16
10,1333.973333,,16
11,1354.393229,,16
12,1374.91275,,16
13,1395.061333,,16
14,1415.366667,,16
15,1435.133333,,16
16,1454.705375,,16
17,1474.156771,,16
18,1493.926667,,16
19,1514,,16
20,1533.522396,,16
21,1552.879688,,16
22,1572.541208,,16
23,1591.392,,16
24,1610.086667,,16
25,1627.833333,,16
26,1645.914313,,16
27,1663.776938,,16
28,1681.969375,,16
29,1699.651979,,16
30,1717.375125,,16
31,1735.041583,,16
32,1752.363833,,16
33,1769.894458,,16
34,1786.84,,16
35,1804.030688,,16
36,1821.326896,,16
37,1838.72,,16
38,1856.073333,,16
39,1873.375917,,16
40,1891.283542,,16
41,1908.003458,,16
42,1924.74,,16
43,1941.420813,,16
44,1958.159833,,16
45,1974.743563,,16
46,1991.626667,,16
47,2008.68,,16
48,2025.713333,,16
49,2041.355833,,16
50,2055.826667,,16
51,2070.433333,,16
52,2085.206667,,16
53,2100.38,,16
54,2115.653333,,16
55,2131.3,,16
56,2146.206667,,16
57,2160.846667,,16
58,2175.56425,,16
59,2190.179854,,16
60,2204.74,,16
61,2219.613333,,16
62,2234.532438,,16
63,2249.286667,,16
64,2264.311479,,16
65,2279.6,,16
66,2295.255229,Beat added,17
67,2311.1,,16
68,2326.120667,,16
69,2341.513333,,16
70,2356.869063,,16
71,2372.16,,16
72,2390.1145,,
