Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Drut,Sitar,Drut teental,1|1,1,On,1,Gat,,,N,2395.815365,2395.800206,7.5,2.5,0.407081,0.010322,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|2,2,On,1,Gat,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|3,3,On,1,Gat,,,N,2396.260794,,7.5,,0.246179,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|4,4,On,1,Gat,,,N,2396.501874,,7.5,,0.060289,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|5,5,On,1,Gat,,,N,2396.753326,,7.5,,0.085956,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|6,6,On,1,Gat,,,N,2397.002679,,7.5,,0.142885,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|7,7,On,1,Gat,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|8,8,On,1,Gat,,,N,2397.486068,,8,,0.175237,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|9,9,On,1,Gat,,,N,2397.79561,,8.5,,0.068809,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|10,10,On,1,Gat,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|11,11,On,1,Gat,,,N,2398.19195,,7.5,,0.084078,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|12,12,On,1,Gat,,,N,2398.456874,,7,,0.085799,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|13,13,On,1,Gat,,,N,2398.703379,,6.5,,0.141336,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|14,14,On,1,Gat,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|15,15,On,1,Gat,,,N,2399.209996,,5,,0.101934,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,1|16,16,On,1,Gat,,,N,2399.468719,,5,,0.096588,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|1,1,On,1,Gat,,,N,2399.682854,2399.677668,5,0.5,0.304889,0.00785,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|2,2,On,1,Gat,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|3,3,On,1,Gat,,,N,2400.210264,,5,,0.067693,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|4,4,On,1,Gat,,,N,2400.45096,,6,,0.096244,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|5,5,On,1,Gat,,,N,2400.68585,2400.735574,6.5,1,0.185758,0.008556,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|6,6,On,1,Gat,,,N,2400.962994,2400.974068,7,1.5,0.290809,0.011555,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|7,7,On,1,Gat,,,N,2401.245391,2401.219626,7.5,2.5,0.136369,0.009481,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|8,8,On,1,Gat,,,N,2401.459124,2401.472365,8,3,0.106252,0.010716,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|9,9,On,1,Gat,,,N,2401.677657,2401.69509,8.5,3,0.108656,0.033091,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|10,10,On,1,Gat,,,N,2401.935879,2401.935664,8.5,3.5,0.099198,0.040511,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|11,11,On,1,Gat,,,N,2402.188679,2402.166835,8.5,4,0.194017,0.029727,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|12,12,On,1,Gat,,,N,2402.441289,2402.419725,8,4.5,0.120104,0.012281,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|13,13,On,1,Gat,,,N,2402.644562,2402.663452,8,5,0.038905,0.029375,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|14,14,On,1,Gat,,,N,2402.869044,2402.913235,7.5,5,0.166575,0.027679,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|15,15,On,1,Gat,,,N,2403.189686,2403.176928,8,4.5,0.225595,0.044464,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,2|16,16,On,1,Gat,,,N,2403.448465,2403.426711,8.5,4.5,0.085343,0.039222,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|1,1,On,1,Gat,,C,TS,2403.669379,2403.675392,8.5,4.5,0.403818,0.255299,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|2,2,On,1,Gat,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|3,3,On,1,Gat,,,TS,2404.247374,,8,,0.169402,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|4,4,On,1,Gat,,,TS,,2404.423706,,4,,0.229685,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|5,5,On,1,Gat,,,TS,2404.696964,2404.681282,8,4,0.200649,0.119725,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|6,6,On,1,Gat,,,TS,2404.930424,2404.927822,8,4,0.135596,0.050707,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|7,7,On,1,Gat,,,TS,2405.157015,2405.168507,8,4.5,0.094886,0.063109,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|8,8,On,1,Gat,,,TS,,2405.409534,,4.5,,0.156829,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|9,9,On,1,Gat,,,TS,2405.661218,2405.649254,7.5,5,0.102043,0.180618,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|10,10,On,1,Gat,,,TS,2405.899583,2405.888707,7.5,5,0.176792,0.103234,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|11,11,On,1,Gat,,,TS,2406.143302,2406.135235,7.5,5,0.118902,0.016167,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|12,12,On,1,Gat,,,TS,2406.384589,2406.372334,7,6,0.139228,0.11241,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|13,13,On,1,Gat,,,TS,2406.629739,,7.5,,0.191058,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|14,14,On,1,Gat,,,TS,,2406.847403,,6.5,,0.13515,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|15,15,On,1,Gat,,,TS,2407.127232,2407.112513,7.5,7,0.126135,0.021799,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,3|16,16,On,1,Gat,,,TS,2407.347789,2407.316662,7.5,7.5,0.452049,0.117714,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|1,1,On,1,Gat,,,TS,2407.564845,,8,,0.48893,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|2,2,On,1,Gat,,,TS,2407.758059,,8.5,,0.089282,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|3,3,On,1,Gat,,,TS,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|4,4,On,1,Gat,,,TS,,2408.256288,,6.5,,0.200601,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|5,5,On,1,Gat,,,TS,2408.562047,2408.57339,8.5,6.5,0.095314,0.136048,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|6,6,On,1,Gat,,,TS,2408.78232,2408.742326,8.5,6.5,0.08169,0.191988,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|7,7,On,1,Gat,,,TS,2409.016529,2408.9692,8.5,7,0.095868,0.167037,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|8,8,On,1,Gat,,,TS,2409.246618,2409.212473,9,6.5,0.064861,0.147915,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|9,9,On,1,Gat,,,TS,2409.450374,2409.429054,9,7,0.13791,0.225809,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|10,10,On,1,Gat,,,TS,2409.723057,2409.716749,8.5,7.5,0.034448,0.158153,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|11,11,On,1,Gat,,,TS,2409.950645,2409.936028,8.5,8,0.139053,0.113381,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|12,12,On,1,Gat,,,TS,2410.206355,2410.180425,8.5,8,0.061353,0.146769,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|13,13,On,1,Gat,,,TS,2410.401246,2410.388069,8.5,8.5,0.10936,0.166397,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|14,14,On,1,Gat,,,TS,2410.663558,,8.5,,0.108985,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|15,15,On,1,Gat,,,TS,2410.884356,,8,,0.131787,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,4|16,16,On,1,Gat,,,TS,2411.147145,,8,,0.08128,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|1,1,On,1,Gat,,C,TS,2411.332895,2411.36405,8,7.5,0.373272,0.191647,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|2,2,On,1,Gat,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|3,3,On,1,Gat,,,N,2411.946864,,8,,0.108571,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|4,4,On,1,Gat,,,N,2412.15552,2412.105622,8,6.5,0.041291,0.243232,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|5,5,On,1,Gat,,,N,,2412.350193,,6,,0.248741,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|6,6,On,1,Gat,,,N,2412.656384,2412.604934,8,5.5,0.091865,0.013016,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|7,7,On,1,Gat,,,N,2412.868368,2412.841865,7.5,6,0.083389,0.037773,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|8,8,On,1,Gat,,,N,2413.092885,2413.098141,7.5,5.5,0.063621,0.15756,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|9,9,On,1,Gat,,,N,2413.340092,2413.341638,7.5,5.5,0.049443,0.168786,Anupama Bhagwat,Gurdain Rayatt,2K
