Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Vil,Sitar,Vilambit teental,1|1,1,On,2,,,,N,1146.897467,1146.90658,,0.5,,0.005351,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|1&,1,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|2,2,On,2,,,,N,1148.255119,,4.5,,0.068476,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|2&,2,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|3,3,On,2,,,,N,1149.580575,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|3&,3,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|4,4,On,2,,,,N,1151.031762,1150.9887,,0.5,,0.005537,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|4&,4,&,2,,,,N,1151.641697,1151.627714,3.5,1,0.14307,0.046306,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|5,5,On,2,,,,N,1152.319707,1152.316693,5,1.5,0.221604,0.314061,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|5&,5,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|6,6,On,2,,,,N,1153.741467,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|6&,6,&,2,,,,N,1154.428071,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|7,7,On,2,,,,N,1155.086013,1155.056983,6,2,0.088763,0.072304,Anupama Bhagwat,Gurdain Rayatt,2A
