Frame,Time,X,Y
0,0,180.536804,180.873804
1,0.04,179.326006,180.308837
2,0.08,178.252033,179.602712
3,0.12,177.244939,178.808292
4,0.16,176.350255,177.949295
5,0.2,175.454525,177.120349
6,0.24,174.712337,176.237127
7,0.28,174.170786,175.423666
8,0.32,173.795816,174.596147
9,0.36,173.680862,173.600268
10,0.4,173.772466,172.574902
11,0.44,174.166786,171.473482
12,0.48,174.817417,170.305077
13,0.52,175.433589,169.162839
14,0.56,175.715746,168.183486
15,0.6,175.479818,167.54863
16,0.64,174.807313,167.230447
17,0.68,173.654566,167.221925
18,0.72,172.293829,167.441601
19,0.76,170.613902,167.729403
20,0.8,168.720843,168.117463
21,0.84,166.576219,168.662693
22,0.88,164.36833,169.415463
23,0.92,162.171175,170.271415
24,0.96,160.135931,171.131139
25,1,158.314324,171.945364
26,1.04,156.725036,172.773109
27,1.08,155.303963,173.594741
28,1.12,154.128301,174.334726
29,1.16,153.186594,175.006446
30,1.2,152.509551,175.577886
31,1.24,152.053674,176.084103
32,1.28,151.807873,176.52564
33,1.32,151.654613,176.933167
34,1.36,151.517997,177.196116
35,1.4,151.423884,177.40998
36,1.44,151.343277,177.562859
37,1.48,151.313415,177.669168
38,1.52,151.314049,177.760315
39,1.56,151.364303,177.883205
40,1.6,151.412902,177.904004
41,1.64,151.535877,177.93195
42,1.68,151.672762,177.922619
43,1.72,151.808376,177.943868
44,1.76,151.926226,177.96405
45,1.8,152.067367,178.00557
46,1.84,152.192193,178.068964
47,1.88,152.281186,178.131191
48,1.92,152.368003,178.200021
49,1.96,152.439276,178.249017
50,2,152.519021,178.336196
51,2.04,152.573132,178.392324
52,2.08,152.643805,178.46067
53,2.12,152.673984,178.498152
54,2.16,152.722433,178.557729
55,2.2,152.754593,178.64857
56,2.24,152.787218,178.724573
57,2.28,152.804294,178.79228
58,2.32,152.807539,178.858294
59,2.36,152.817535,178.942104
60,2.4,152.820564,179.031154
61,2.44,152.830787,179.094343
62,2.48,152.841931,179.157946
63,2.52,152.896371,179.224239
64,2.56,152.952526,179.295382
65,2.6,153.008431,179.333539
66,2.64,153.081408,179.411791
67,2.68,153.150254,179.455664
68,2.72,153.234708,179.497002
69,2.76,153.301381,179.51914
70,2.8,153.360573,179.558688
71,2.84,153.429896,179.607721
72,2.88,153.494739,179.683387
73,2.92,153.538466,179.798225
74,2.96,153.517331,179.918192
75,3,153.485157,180.049788
76,3.04,153.403087,180.176345
77,3.08,153.343569,180.313879
78,3.12,153.315422,180.48378
79,3.16,153.293981,180.61792
80,3.2,153.200856,180.789805
81,3.24,153.126918,180.971504
82,3.28,153.067823,181.103543
83,3.32,153.009798,181.211808
84,3.36,152.959384,181.305548
85,3.4,152.946691,181.346486
86,3.44,152.943785,181.33047
87,3.48,153.031412,181.353997
88,3.52,153.106597,181.363205
89,3.56,153.23816,181.450098
90,3.6,153.339622,181.520668
91,3.64,153.435033,181.552629
92,3.68,153.540757,181.555126
93,3.72,153.633201,181.547953
94,3.76,153.731518,181.523141
95,3.8,153.84086,181.521263
96,3.84,153.946134,181.50941
97,3.88,154.029029,181.496483
98,3.92,154.093788,181.481171
99,3.96,154.140115,181.453042
100,4,154.223134,181.467485
101,4.04,154.245485,181.468951
102,4.08,154.272364,181.482838
103,4.12,154.302316,181.47655
104,4.16,154.326447,181.468328
