Frame,Time,X,Y
0,0,180.024281,181.584882
1,0.04,180.00072,181.586029
2,0.08,179.987951,181.590711
3,0.12,179.982853,181.611984
4,0.16,179.991562,181.650203
5,0.2,179.977848,181.689846
6,0.24,179.982895,181.713701
7,0.28,179.998608,181.734076
8,0.32,180.007126,181.757359
9,0.36,180.031284,181.757083
10,0.4,180.058277,181.754971
11,0.44,180.077467,181.758683
12,0.48,180.090348,181.764678
13,0.52,180.119387,181.753452
14,0.56,180.157441,181.739505
15,0.6,180.18782,181.744976
16,0.64,180.215119,181.742428
17,0.68,180.21586,181.738259
18,0.72,180.227848,181.729298
19,0.76,180.23568,181.72463
20,0.8,180.233678,181.723015
21,0.84,180.234687,181.725023
22,0.88,180.219533,181.734939
23,0.92,180.206762,181.744683
24,0.96,180.190554,181.76026
25,1,180.158978,181.771119
26,1.04,180.131581,181.774472
27,1.08,180.094513,181.782312
28,1.12,180.065616,181.781257
29,1.16,180.061184,181.778624
30,1.2,180.055209,181.78326
31,1.24,180.054539,181.782773
32,1.28,180.057536,181.781626
33,1.32,180.061997,181.794257
34,1.36,180.071349,181.798626
35,1.4,180.099755,181.80767
36,1.44,180.114617,181.8162
37,1.48,180.142995,181.807175
38,1.52,180.176415,181.814598
39,1.56,180.207268,181.843047
40,1.6,180.209893,181.853543
41,1.64,180.221601,181.861844
42,1.68,180.221724,181.86362
43,1.72,180.208729,181.873758
44,1.76,180.177235,181.876276
45,1.8,180.155691,181.879856
46,1.84,180.139154,181.885541
47,1.88,180.117312,181.883597
48,1.92,180.097709,181.881644
49,1.96,180.091659,181.882219
50,2,180.071372,181.891488
51,2.04,180.052656,181.883691
52,2.08,180.051579,181.869148
53,2.12,180.039738,181.837855
54,2.16,180.049523,181.812344
55,2.2,180.063654,181.806852
56,2.24,180.087446,181.800552
57,2.28,180.103129,181.779114
58,2.32,180.127855,181.757145
59,2.36,180.153825,181.748085
60,2.4,180.182528,181.74277
61,2.44,180.185234,181.732154
62,2.48,180.198111,181.716166
63,2.52,180.194299,181.70489
64,2.56,180.196388,181.700982
65,2.6,180.187536,181.691663
66,2.64,180.179549,181.726158
67,2.68,180.172039,181.751523
68,2.72,180.158779,181.776461
69,2.76,180.154876,181.790551
70,2.8,180.143131,181.807951
71,2.84,180.141045,181.81698
72,2.88,180.151538,181.825939
73,2.92,180.158407,181.826234
74,2.96,180.161396,181.825282
75,3,180.184632,181.830725
76,3.04,180.193287,181.837182
77,3.08,180.210049,181.847572
78,3.12,180.234692,181.858708
79,3.16,180.244935,181.853348
80,3.2,180.251753,181.856545
81,3.24,180.264893,181.86651
82,3.28,180.276395,181.870155
83,3.32,180.27653,181.874238
84,3.36,180.27124,181.889066
85,3.4,180.266752,181.908037
86,3.44,180.255336,181.917133
87,3.48,180.25881,181.926035
88,3.52,180.251414,181.926117
89,3.56,180.250518,181.93504
90,3.6,180.243652,181.92925
91,3.64,180.226482,181.912262
92,3.68,180.230678,181.893023
93,3.72,180.231817,181.886858
94,3.76,180.242783,181.877181
95,3.8,180.24928,181.877591
96,3.84,180.264281,181.867288
97,3.88,180.27923,181.861712
98,3.92,180.297611,181.841078
99,3.96,180.298362,181.825478
100,4,180.326927,181.828821
101,4.04,180.324471,181.827489
102,4.08,180.31593,181.829105
103,4.12,180.307337,181.840176
104,4.16,180.313009,181.844322
105,4.2,180.317933,181.869608
106,4.24,180.300335,181.884862
107,4.28,180.295536,181.888624
108,4.32,180.285324,181.876682
109,4.36,180.274618,181.880742
110,4.4,180.26144,181.874716
111,4.44,180.255064,181.873647
112,4.48,180.256428,181.872813
113,4.52,180.25751,181.862526
114,4.56,180.254475,181.860474
115,4.6,180.254481,181.859818
116,4.64,180.255854,181.851386
117,4.68,180.257478,181.851738
118,4.72,180.268828,181.849987
119,4.76,180.263348,181.846143
120,4.8,180.262932,181.840367
121,4.84,180.265034,181.842594
122,4.88,180.26216,181.843105
123,4.92,180.255524,181.845224
124,4.96,180.238931,181.866028
125,5,180.23237,181.863541
126,5.04,180.222227,181.85671
127,5.08,180.21005,181.842473
128,5.12,180.209682,181.834764
129,5.16,180.204501,181.812665
130,5.2,180.203993,181.785192
131,5.24,180.200705,181.7578
132,5.28,180.186168,181.737634
133,5.32,180.191303,181.728056
134,5.36,180.191071,181.722985
135,5.4,180.198989,181.707963
136,5.44,180.202893,181.699446
137,5.48,180.224987,181.685749
138,5.52,180.22572,181.677973
139,5.56,180.235887,181.682811
140,5.6,180.235244,181.691053
141,5.64,180.246547,181.709773
142,5.68,180.237937,181.758032
143,5.72,180.234281,181.769539
144,5.76,180.226023,181.788635
145,5.8,180.220648,181.817312
146,5.84,180.217745,181.841811
147,5.88,180.219045,181.855142
148,5.92,180.226177,181.861112
149,5.96,180.223521,181.868116
150,6,180.244114,181.873333
151,6.04,180.245724,181.878301
152,6.08,180.249326,181.870072
153,6.12,180.26539,181.880118
154,6.16,180.270137,181.887173
155,6.2,180.287248,181.882633
156,6.24,180.301621,181.872986
157,6.28,180.309677,181.884198
158,6.32,180.329163,181.891958
159,6.36,180.333982,181.888247
160,6.4,180.331455,181.896146
161,6.44,180.327755,181.910885
162,6.48,180.325183,181.923237
163,6.52,180.313248,181.934653
164,6.56,180.28888,181.945371
165,6.6,180.292027,181.94717
166,6.64,180.285402,181.949892
167,6.68,180.281594,181.946187
168,6.72,180.290946,181.942934
169,6.76,180.301875,181.9409
170,6.8,180.300219,181.940487
171,6.84,180.305043,181.936354
172,6.88,180.312702,181.928024
173,6.92,180.321809,181.916051
174,6.96,180.326281,181.910139
175,7,180.333811,181.899767
176,7.04,180.344845,181.905333
177,7.08,180.34331,181.906221
178,7.12,180.333246,181.91347
179,7.16,180.329188,181.935009
180,7.2,180.314668,181.958871
181,7.24,180.300624,181.989043
182,7.28,180.283438,182.02723
183,7.32,180.276412,182.030805
184,7.36,180.270984,182.0265
185,7.4,180.28058,182.036313
186,7.44,180.281816,182.03631
187,7.48,180.29819,182.027459
188,7.52,180.305092,182.016364
189,7.56,180.308985,182.012266
190,7.6,180.324097,182.004592
191,7.64,180.342715,181.993129
192,7.68,180.367572,181.984689
193,7.72,180.366241,181.985773
194,7.76,180.365675,181.984618
195,7.8,180.368367,181.966943
196,7.84,180.365729,181.950377
197,7.88,180.356742,181.955834
198,7.92,180.348637,181.94888
199,7.96,180.334856,181.958126
200,8,180.335009,181.97256
201,8.04,180.332893,181.979732
202,8.08,180.324073,181.990355
203,8.12,180.320327,181.989524
204,8.16,180.323082,181.975878
205,8.2,180.326808,181.95885
206,8.24,180.319316,181.941927
207,8.28,180.334081,181.901692
208,8.32,180.344746,181.878198
209,8.36,180.337589,181.868374
210,8.4,180.345624,181.859676
211,8.44,180.352797,181.853838
212,8.48,180.360993,181.851069
213,8.52,180.364308,181.849384
214,8.56,180.364184,181.84529
215,8.6,180.383154,181.862727
216,8.64,180.411581,181.882587
217,8.68,180.417649,181.909981
218,8.72,180.441157,181.943808
219,8.76,180.471684,181.973643
220,8.8,180.483139,182.014176
221,8.84,180.490103,182.033303
222,8.88,180.491421,182.042612
223,8.92,180.497936,182.037377
224,8.96,180.496799,182.02359
225,9,180.48724,182.010189
226,9.04,180.475386,181.980516
227,9.08,180.466061,181.962404
228,9.12,180.443116,181.948747
229,9.16,180.419718,181.938338
230,9.2,180.400805,181.937751
231,9.24,180.40161,181.945595
232,9.28,180.398015,181.956131
233,9.32,180.407281,181.970906
234,9.36,180.422246,181.989852
235,9.4,180.449652,182.007432
236,9.44,180.476499,182.031658
237,9.48,180.51104,182.044769
238,9.52,180.550875,182.074525
239,9.56,180.576085,182.097521
240,9.6,180.591866,182.106994
241,9.64,180.590211,182.106706
242,9.68,180.594535,182.104114
243,9.72,180.588075,182.097662
244,9.76,180.577463,182.079989
245,9.8,180.547873,182.051038
246,9.84,180.529498,182.024471
247,9.88,180.528282,181.999879
248,9.92,180.517976,181.986493
249,9.96,180.480608,181.973106
250,10,180.488085,181.976821
251,10.04,180.479477,181.972593
252,10.08,180.468211,181.980678
253,10.12,180.48059,181.995204
254,10.16,180.500637,182.007243
255,10.2,180.542388,182.023092
256,10.24,180.568819,182.042249
257,10.28,180.606745,182.055192
258,10.32,180.628737,182.076799
259,10.36,180.662841,182.099359
260,10.4,180.64702,182.10927
261,10.44,180.628108,182.110544
262,10.48,180.605071,182.112113
263,10.52,180.567424,182.082489
264,10.56,180.543485,182.04007
265,10.6,180.519562,182.020897
266,10.64,180.48122,181.996372
267,10.68,180.464684,182.000626
268,10.72,180.440434,182.000682
269,10.76,180.427692,182.000353
270,10.8,180.427657,182.021617
271,10.84,180.427784,182.034201
272,10.88,180.455757,182.052192
273,10.92,180.495351,182.065584
274,10.96,180.544218,182.081365
275,11,180.609543,182.089045
276,11.04,180.657265,182.095555
277,11.08,180.676074,182.094374
278,11.12,180.688165,182.092921
279,11.16,180.691516,182.085654
280,11.2,180.6894,182.076182
281,11.24,180.677846,182.074775
282,11.28,180.647451,182.078685
283,11.32,180.618232,182.062912
284,11.36,180.562016,182.054931
285,11.4,180.523857,182.028911
286,11.44,180.479806,182.025885
287,11.48,180.443687,182.011541
288,11.52,180.425834,182.006677
289,11.56,180.407371,182.000449
290,11.6,180.388806,181.999322
291,11.64,180.401404,181.991268
292,11.68,180.435633,181.987566
293,11.72,180.484817,181.981904
294,11.76,180.539439,181.97873
295,11.8,180.579779,181.972119
296,11.84,180.613883,181.976278
297,11.88,180.642813,181.985801
298,11.92,180.674086,181.98996
299,11.96,180.682959,181.995905
300,12,180.693393,182.030913
301,12.04,180.684105,182.064984
302,12.08,180.671382,182.093065
303,12.12,180.641049,182.094316
304,12.16,180.616189,182.088921
305,12.2,180.584818,182.089443
306,12.24,180.55673,182.098702
307,12.28,180.542231,182.102367
308,12.32,180.526359,182.108045
309,12.36,180.529733,182.11632
310,12.4,180.535312,182.116127
311,12.44,180.542887,182.115026
312,12.48,180.572657,182.118668
313,12.52,180.601068,182.128724
314,12.56,180.635753,182.132529
315,12.6,180.667489,182.133507
316,12.64,180.686451,182.141556
317,12.68,180.690811,182.152623
318,12.72,180.697121,182.176405
319,12.76,180.689355,182.181842
320,12.8,180.68114,182.199572
321,12.84,180.666864,182.206393
322,12.88,180.646929,182.217344
323,12.92,180.627807,182.216889
324,12.96,180.58886,182.214964
325,13,180.582985,182.215846
326,13.04,180.570152,182.220227
