"Frame","Time","Pitch","Smooth"
0,0,284.0505,2.703328696
1,0.04,284.103,2.713481842
2,0.08,285.053,2.729433428
3,0.12,285.0235,2.729532519
4,0.16,286.032,2.756322206
5,0.2,287.003,2.773111995
6,0.24,286.9795,2.783306561
7,0.28,285.076,2.771830434
8,0.32,284.1305,2.766217338
9,0.36,285.0425,2.782139374
10,0.4,285.065,2.782608832
11,0.44,284.1355,2.777057495
12,0.48,286.0385,2.799736997
13,0.52,286.06,2.800217743
14,0.56,286.0595,2.811168024
15,0.6,285.0965,2.805076563
16,0.64,285.106,2.816274136
17,0.68,284.999,2.8154884
18,0.72,282.104,2.797132655
19,0.76,278.243,2.772361297
20,0.8,276.228,2.748826373
21,0.84,273.2945,2.730276008
22,0.88,268.4395,2.689164572
23,0.92,267.3625,2.681995905
24,0.96,263.522,2.648197142
25,1,259.59,2.622990331
26,1.04,257.6675,2.601528388
27,1.08,257.554,2.60037531
28,1.12,255.6585,2.57942095
29,1.16,252.732,2.551950285
30,1.2,250.756,2.539594097
31,1.24,249.79,2.533564175
32,1.28,248.832,2.518712922
33,1.32,247.871,2.503952965
34,1.36,246.8955,2.489291563
35,1.4,246.884,2.489150333
36,1.44,246.869,2.488934123
37,1.48,246.8795,2.489024394
38,1.52,246.885,2.489044095
39,1.56,246.8795,2.480669925
40,1.6,246.8795,2.480616645
41,1.64,246.878,2.480532176
42,1.68,246.879,2.480502658
43,1.72,246.892,2.480567299
44,1.76,247.841,2.486222633
45,1.8,247.8425,2.486182611
46,1.84,247.844,2.486142592
47,1.88,248.7865,2.491718057
48,1.92,248.7955,2.491731771
49,1.96,248.8035,2.491752905
50,2,249.747,2.497360477
51,2.04,249.7555,2.497384506
52,2.08,249.7605,2.497414483
53,2.12,248.8575,2.483971091
54,2.16,248.852,2.483916171
55,2.2,248.8535,2.48389857
56,2.24,248.8535,2.48385433
57,2.28,248.852,2.483863081
58,2.32,248.85,2.483868852
59,2.36,248.8515,2.483851252
60,2.4,248.853,2.483824805
61,2.44,248.8545,2.483789513
62,2.48,248.8525,2.483737777
63,2.52,248.8555,2.483742394
64,2.56,249.78,2.48923231
65,2.6,249.79,2.489296372
66,2.64,249.794,2.48932466
67,2.68,249.7995,2.489330813
68,2.72,249.799,2.489301194
69,2.76,249.798,2.48923752
70,2.8,249.8055,2.489255597
71,2.84,249.803,2.489174108
72,2.88,249.812,2.489223322
73,2.92,249.8085,2.489127001
74,2.96,250.706,2.494396891
75,3,250.68,2.494028178
76,3.04,249.7705,2.488567725
77,3.08,248.866,2.475268537
78,3.12,248.8535,2.475085134
79,3.16,248.845,2.474925467
80,3.2,248.8385,2.474851975
81,3.24,248.814,2.47456693
82,3.28,248.81,2.474556332
83,3.32,248.7985,2.47443138
84,3.36,248.783,2.474265261
85,3.4,248.7745,2.474171212
86,3.44,248.7775,2.474193357
87,3.48,248.781,2.474214097
88,3.52,248.7835,2.474159028
89,3.56,248.791,2.474159793
90,3.6,249.702,2.479535819
91,3.64,249.702,2.479491988
92,3.68,249.707,2.479521613
93,3.72,249.705,2.479492231
94,3.76,249.7095,2.479562725
95,3.8,249.711,2.479575996
96,3.84,249.7135,2.479577659
97,3.88,249.716,2.479570555
98,3.92,249.7165,2.479560368
99,3.96,249.7145,2.47952222
100,4,249.71,2.479469261
101,4.04,249.7075,2.479445684
102,4.08,249.7075,2.479436918
103,4.12,249.707,2.479420808
104,4.16,249.71,2.479464878
105,4.2,249.7125,2.479475307
106,4.24,249.715,2.479485736
107,4.28,249.717,2.479493203
108,4.32,249.718,2.479525425
109,4.36,249.7155,2.47950623
110,4.4,249.718,2.479525425
111,4.44,249.72,2.479537274
112,4.48,249.722,2.47955789
113,4.52,249.7265,2.479602084
114,4.56,249.7295,2.479615476
115,4.6,249.7295,2.479602326
116,4.64,249.733,2.47961868
117,4.68,249.7305,2.479577569
118,4.72,249.7295,2.479562878
119,4.76,249.7295,2.479554113
120,4.8,249.7315,2.47959226
121,4.84,249.733,2.479601147
122,4.88,249.732,2.479586456
123,4.92,249.7325,2.479589418
124,4.96,249.7325,2.479585035
125,5,249.7315,2.479574728
126,5.04,249.731,2.479576148
127,5.08,249.7305,2.479568803
128,5.12,249.7325,2.479602568
129,5.16,249.7355,2.479633492
130,5.2,249.735,2.479634913
131,5.24,249.7375,2.479671642
132,5.28,249.738,2.479670221
133,5.32,249.7395,2.479692258
134,5.36,249.737,2.479659912
135,5.4,249.7345,2.479627567
136,5.44,249.745,2.47974238
137,5.48,249.751,2.479813002
138,5.52,249.759,2.47987794
139,5.56,249.7635,2.479926526
140,5.6,249.767,2.479912189
141,5.64,249.7765,2.48000794
142,5.68,249.7755,2.479962553
143,5.72,249.801,2.480280292
144,5.76,249.8125,2.480414234
145,5.8,250.7365,2.486092507
146,5.84,250.7715,2.486590708
147,5.88,251.686,2.50000596
148,5.92,251.74,2.500600562
149,5.96,251.797,2.501096923
150,6,252.763,2.507039944
151,6.04,253.7335,2.512875933
152,6.08,255.651,2.532776344
153,6.12,255.692,2.533307148
154,6.16,255.7035,2.533491058
155,6.2,255.716,2.533616608
156,6.24,256.626,2.547711236
157,6.28,255.695,2.542249847
158,6.32,255.6905,2.542301776
159,6.36,255.686,2.542307194
160,6.4,255.656,2.541921612
161,6.44,254.705,2.527544133
162,6.48,253.7585,2.521931574
163,6.52,253.739,2.530345888
164,6.56,253.7135,2.530265928
165,6.6,253.7055,2.53025921
166,6.64,253.7035,2.530362529
167,6.68,253.6865,2.530223061
168,6.72,252.7885,2.524856963
169,6.76,252.7715,2.524694635
170,6.8,252.76,2.524565493
171,6.84,252.7545,2.524592092
172,6.88,252.7585,2.524657604
173,6.92,252.7505,2.52460475
174,6.96,252.739,2.524480207
175,7,252.7265,2.524345044
176,7.04,252.713,2.524199264
177,7.08,252.705,2.524160206
178,7.12,252.693,2.524069444
179,7.16,252.6775,2.523975959
180,7.2,251.7625,2.51846647
181,7.24,252.658,2.52378942
182,7.28,251.734,2.509780461
183,7.32,251.7325,2.509649233
184,7.36,251.732,2.509628128
185,7.4,251.732,2.509555706
186,7.44,251.7285,2.509489458
187,7.48,251.724,2.509471525
188,7.52,251.7125,2.509384463
189,7.56,250.8025,2.503977285
190,7.6,250.7875,2.503891844
191,7.64,250.784,2.503852819
192,7.68,250.7825,2.503843824
193,7.72,250.7765,2.503758249
194,7.76,250.7745,2.503723714
195,7.8,250.773,2.503719228
196,7.84,250.771,2.503716252
197,7.88,250.769,2.503713276
198,7.92,250.768,2.503738839
199,7.96,250.768,2.503720805
200,8,250.7705,2.503744813
201,8.04,250.767,2.503692266
202,8.08,250.7625,2.503656266
203,8.12,250.7785,2.503788276
204,8.16,250.791,2.503890286
205,8.2,250.7915,2.503906812
206,8.24,250.794,2.503930822
207,8.28,250.7945,2.503960877
208,8.32,250.7945,2.503978915
209,8.36,250.793,2.503947372
210,8.4,250.793,2.503942863
211,8.44,250.798,2.503936772
212,8.48,251.7045,2.509359119
213,8.52,251.709,2.509386103
214,8.56,251.713,2.509419141
215,8.6,251.7125,2.509407091
216,8.64,251.7125,2.50939804
217,8.68,251.712,2.509390516
218,8.72,251.711,2.509393571
219,8.76,251.713,2.509401038
220,8.8,251.7115,2.509387518
221,8.84,251.7135,2.509413087
222,8.88,251.7145,2.50942361
223,8.92,251.716,2.509446182
224,8.96,251.717,2.50946123
225,9,251.715,2.509376827
226,9.04,251.715,2.509381352
227,9.08,251.7155,2.509384351
228,9.12,251.7175,2.509418971
229,9.16,251.7205,2.509464115
230,9.2,251.72,2.509465642
231,9.24,251.719,2.509464172
232,9.28,251.7125,2.509379938
233,9.32,251.708,2.509321277
234,9.36,251.706,2.509304759
235,9.4,251.701,2.509247628
236,9.44,251.702,2.509249099
237,9.48,251.6985,2.509219063
238,9.52,251.699,2.509213012
239,9.56,251.696,2.509181449
240,9.6,251.696,2.509185974
241,9.64,251.695,2.509189027
242,9.68,251.6935,2.509170984
243,9.72,251.69,2.509127376
244,9.76,251.69,2.509127376
245,9.8,251.6865,2.509083769
246,9.84,251.684,2.509064255
247,9.88,251.6895,2.509101756
248,9.92,251.6885,2.509091236
249,9.96,251.6885,2.50907314
250,10,251.692,2.509094125
251,10.04,251.6875,2.509071668
252,10.08,251.683,2.509040163
253,10.12,250.7775,2.503610969
254,10.16,250.7705,2.503573506
255,10.2,250.764,2.50353904
256,10.24,250.7465,2.503479186
257,10.28,250.732,2.503396751
258,10.32,249.803,2.497830929
259,10.36,249.802,2.497847386
260,10.4,250.7275,2.503387798
261,10.44,250.7365,2.503414719
262,10.48,250.7685,2.50362913
263,10.52,251.6905,2.509116801
264,10.56,251.697,2.509074339
265,10.6,251.697,2.509056244
266,10.64,251.6985,2.50905619
267,10.68,251.699,2.509068235
268,10.72,251.698,2.509080335
269,10.76,251.6995,2.509130045
270,10.8,251.6985,2.509110477
271,10.84,251.703,2.509137458
272,10.88,251.7055,2.509143398
273,10.92,251.706,2.5091283
274,10.96,251.7175,2.509233444
275,11,251.722,2.509292098
276,11.04,251.7235,2.509301092
277,11.08,251.727,2.509340177
278,11.12,251.731,2.509386786
279,11.16,251.7355,2.509427344
280,11.2,251.7415,2.509472371
281,11.24,251.7485,2.509527921
282,11.28,251.742,2.509466318
283,11.32,251.7475,2.509503823
284,11.36,251.7575,2.509609042
